venue,category,count,share
Mercedes-Benz Stadium,Other Services except Public Administration,231,0.21408711770157554
Mercedes-Benz Stadium,Accommodation and Food Services,198,0.1835032437442076
Mercedes-Benz Stadium,Retail Trade,172,0.15940685820203893
Mercedes-Benz Stadium,Professional/Scientific/Technical Services,96,0.08897126969416126
Mercedes-Benz Stadium,Wholesale Trade,87,0.08063021316033364
Mercedes-Benz Stadium,"Admin, Support, Waste Mgt & Remediation Svc",58,0.05375347544022243
Mercedes-Benz Stadium,Real Estate Rental and Leasing,51,0.047265987025023166
Mercedes-Benz Stadium,Information,43,0.03985171455050973
Mercedes-Benz Stadium,"Arts, Entertainment & Recreation",32,0.029657089898053754
Mercedes-Benz Stadium,Educational Services,28,0.025949953660797033
Mercedes-Benz Stadium,Non-Profit,26,0.024096385542168676
Mercedes-Benz Stadium,Manufacturing,20,0.018535681186283594
Mercedes-Benz Stadium,Construction,17,0.015755329008341055
Mercedes-Benz Stadium,Health Care & Social Assistance,6,0.005560704355885079
Mercedes-Benz Stadium,Transportation & Warehousing,4,0.0037071362372567192
Mercedes-Benz Stadium,Disabled Veteran,3,0.0027803521779425394
Mercedes-Benz Stadium,Public Administration,3,0.0027803521779425394
Mercedes-Benz Stadium,Management of Companies and Enterprises,2,0.0018535681186283596
Mercedes-Benz Stadium,Utilities,1,0.0009267840593141798
Mercedes-Benz Stadium,"Agriculture, Forestry, Fishing and Hunting",1,0.0009267840593141798
State Farm Arena,Other Services except Public Administration,332,0.22371967654986524
State Farm Arena,Accommodation and Food Services,279,0.18800539083557952
State Farm Arena,Retail Trade,200,0.1347708894878706
State Farm Arena,Professional/Scientific/Technical Services,172,0.11590296495956873
State Farm Arena,Wholesale Trade,90,0.06064690026954178
State Farm Arena,"Admin, Support, Waste Mgt & Remediation Svc",82,0.05525606469002695
State Farm Arena,Real Estate Rental and Leasing,79,0.05323450134770889
State Farm Arena,Information,46,0.03099730458221024
State Farm Arena,Non-Profit,34,0.022911051212938006
State Farm Arena,"Arts, Entertainment & Recreation",33,0.02223719676549865
State Farm Arena,Construction,31,0.020889487870619946
State Farm Arena,Educational Services,25,0.016846361185983826
State Farm Arena,Health Care & Social Assistance,25,0.016846361185983826
State Farm Arena,Manufacturing,20,0.013477088948787063
State Farm Arena,Transportation & Warehousing,16,0.01078167115902965
State Farm Arena,Management of Companies and Enterprises,7,0.0047169811320754715
State Farm Arena,Disabled Veteran,5,0.0033692722371967657
State Farm Arena,Public Administration,3,0.0020215633423180594
State Farm Arena,Utilities,2,0.0013477088948787063
State Farm Arena,"Agriculture, Forestry, Fishing and Hunting",2,0.0013477088948787063
State Farm Arena,Finance and Insurance,1,0.0006738544474393531
Bobby Dodd Stadium,Other Services except Public Administration,252,0.2159383033419023
Bobby Dodd Stadium,Accommodation and Food Services,228,0.1953727506426735
Bobby Dodd Stadium,Professional/Scientific/Technical Services,134,0.11482433590402742
Bobby Dodd Stadium,Retail Trade,119,0.10197086546700942
Bobby Dodd Stadium,Real Estate Rental and Leasing,87,0.07455012853470437
Bobby Dodd Stadium,Health Care & Social Assistance,61,0.05227077977720651
Bobby Dodd Stadium,"Admin, Support, Waste Mgt & Remediation Svc",59,0.050556983718937444
Bobby Dodd Stadium,Information,45,0.038560411311053984
Bobby Dodd Stadium,Wholesale Trade,35,0.029991431019708654
Bobby Dodd Stadium,Non-Profit,33,0.028277634961439587
Bobby Dodd Stadium,Construction,29,0.024850042844901457
Bobby Dodd Stadium,"Arts, Entertainment & Recreation",25,0.021422450728363324
Bobby Dodd Stadium,Educational Services,15,0.012853470437017995
Bobby Dodd Stadium,Manufacturing,15,0.012853470437017995
Bobby Dodd Stadium,Transportation & Warehousing,11,0.009425878320479864
Bobby Dodd Stadium,Management of Companies and Enterprises,9,0.007712082262210797
Bobby Dodd Stadium,"Agriculture, Forestry, Fishing and Hunting",5,0.004284490145672665
Bobby Dodd Stadium,Disabled Veteran,3,0.002570694087403599
Bobby Dodd Stadium,Finance and Insurance,2,0.001713796058269066
